season,week,n_participants,eliminated_name,judge_std,judge_mean,actual_rule,estimated_fan_votes,percentage_eliminated,rank_eliminated,same_result,actual_eliminated,pct_matches_actual,rank_matches_actual,pct_scores,rank_scores
17,7,8,"Nicole ""Snooki"" Polizzi",0.4925662673973704,9.229166666666668,percentage,"[0.10734933 0.17766826 0.14510929 0.14916705 0.12786433 0.16499988
 0.01670863 0.11113323]",6,6,True,6,True,True,"[0.2360175  0.29956442 0.26474811 0.28234989 0.26104718 0.2778667
 0.13860479 0.2398014 ]",[10  6 11  4  6 10 13  9]
17,8,7,Brant Daugherty,0.7095078297976828,9.142857142857142,percentage,"[0.02036565 0.15135889 0.2151415  0.13004127 0.16680438 0.17933485
 0.13695346]",0,0,True,0,True,True,"[0.16099065 0.28156722 0.36097483 0.28629127 0.31263771 0.30433485
 0.29320346]",[12 10  4  7  6  9  6]
17,9,6,Elizabeth Berkley Lauren,0.8593171276810011,8.75,percentage,[0.02446365 0.15048952 0.20801465 0.20112479 0.20773994 0.20816745],0,3,False,0,True,False,[0.20224143 0.32191809 0.39214163 0.36302955 0.34107328 0.37959602],[8 8 3 9 9 4]
17,10,5,Leah Remini,0.85146931829632,8.75,percentage,[0.0453204  0.2206354  0.26894845 0.22119746 0.2438983 ],0,0,True,0,True,True,[0.23103468 0.43492111 0.49466273 0.39262603 0.44675544],[9 6 2 8 5]
18,2,11,Sean Avery,0.9408590725006076,7.393939393939394,percentage,"[0.1077847  0.16120933 0.09144465 0.10750587 0.01142446 0.10502792
 0.09776653 0.06092828 0.07284398 0.06943331 0.11463097]",4,4,True,4,True,True,"[0.16926011 0.25956999 0.19390366 0.19357144 0.09749003 0.20748693
 0.19612718 0.1633873  0.15890955 0.15959725 0.20069654]",[14  5  8 11 18  6 10 11 15 15  9]
18,5,9,Cody Simpson,0.8146043499230655,8.944444444444445,percentage,"[0.14553033 0.10981596 0.11138729 0.14410563 0.08227403 0.11486703
 0.13787262 0.01307004 0.14107708]",7,7,True,7,True,True,"[0.26664835 0.23403956 0.22008294 0.25901246 0.19718086 0.22666827
 0.22482915 0.1186601  0.25287832]",[ 3  8 13  5 11 10 13 17  8]
18,6,8,Drew Carey,0.6702378309227255,8.8125,percentage,"[0.14258793 0.11317979 0.21661112 0.14285456 0.10277712 0.12494434
 0.0171262  0.13991893]",6,6,True,6,True,True,"[0.2702475  0.23729327 0.3300863  0.27051414 0.2375289  0.26678831
 0.13060138 0.2569402 ]",[ 6 11  8  5  9  6 15 10]
18,7,7,NeNe Leakes,0.44678557154274295,9.035714285714286,percentage,"[0.16604397 0.16676008 0.18272507 0.14030091 0.14400524 0.17637464
 0.02379008]",6,6,True,6,True,True,"[0.30833646 0.3051     0.32897013 0.28061712 0.29222659 0.33052484
 0.15422487]",[ 8  9  4 11  7  3 14]
18,8,6,Danica McKellar,0.4487637339278754,9.416666666666666,percentage,[0.02643499 0.21266387 0.205943   0.17538862 0.17903007 0.20053945],0,0,True,0,True,True,[0.19457658 0.3719559  0.36523504 0.35237977 0.35602122 0.35983149],[9 5 6 6 5 7]
18,9,5,Charlie White,0.33166247903553997,9.55,percentage,[0.2622176  0.24683127 0.03999547 0.22745576 0.2234999 ],2,2,True,2,True,True,[0.46117048 0.43531294 0.23894835 0.43164424 0.43292399],[4 7 8 5 5]
18,10,4,James Maslow,0.5270708723164698,9.555533333333333,percentage,[0.0611453  0.32780267 0.3239839  0.28706813],0,0,True,0,True,True,[0.31405287 0.55454564 0.58270485 0.54869664],[7 5 4 4]
19,1,13,Lolo Jones,1.1203470510484237,7.153846153846154,percentage,"[0.18600445 0.10175404 0.05578452 0.06675345 0.06030845 0.01216745
 0.04346628 0.08849417 0.06693044 0.12752314 0.07706259 0.05561058
 0.05814043]",5,5,True,5,True,True,"[0.25320876 0.1823992  0.14180603 0.14471044 0.15708264 0.07130724
 0.12679962 0.16107481 0.12069388 0.19472744 0.15501958 0.14163209
 0.14953828]",[11  9 13 14  9 25 17 13 19 12 12 14 11]
19,2,12,Tavis Smiley,0.7488416981504762,7.541666666666667,percentage,"[0.12607699 0.13329121 0.05834991 0.056908   0.08187633 0.09862336
 0.07272357 0.09050523 0.095618   0.00948615 0.09444448 0.08209678]",9,9,True,9,True,True,"[0.21171235 0.21616414 0.15503499 0.15083065 0.17027412 0.17597143
 0.15007163 0.1678533  0.16191634 0.08683422 0.1856047  0.16773214]",[ 7  8 11 13 12 11 17 14 16 20  8 12]
19,3,11,Randy Couture,1.073728346456156,8.022727272727273,percentage,"[0.10078404 0.09928416 0.1030591  0.07798674 0.11956341 0.01427409
 0.12372527 0.10234321 0.10966828 0.08764506 0.06166665]",5,5,True,5,True,True,"[0.18293701 0.18993572 0.19087779 0.19130118 0.21021497 0.08792848
 0.22004255 0.18449619 0.18898839 0.2009595  0.15231821]",[14 11 11 10  6 22  4 13 13  9 14]
19,4,10,Betsey Johnson,1.3738631664034087,8.0,percentage,"[0.10896653 0.13009137 0.09208994 0.09632016 0.09513689 0.09171131
 0.01473958 0.12958861 0.10015626 0.14119935]",6,5,False,6,True,False,"[0.19959153 0.20509137 0.21396494 0.20882016 0.22013689 0.17921131
 0.10536458 0.20771361 0.20328126 0.25682435]",[10 12 10 10  8 17 16 12 10  4]
19,6,9,Jonathan Bennett,0.8669159185737353,8.13888888888889,percentage,"[0.12233235 0.01377764 0.15612117 0.10059411 0.11812791 0.16361284
 0.13120615 0.08776687 0.10646097]",1,1,True,1,True,True,"[0.21789549 0.12299265 0.26533618 0.2132221  0.25123371 0.25917598
 0.23359523 0.21063377 0.22591489]",[12 14  7 11  6  9 10 10  9]
19,7,8,Antonio Sabato Jr.,0.7498372219188641,8.078125,percentage,"[0.0214403  0.15725618 0.14766305 0.11798944 0.14327866 0.15342492
 0.11723095 0.14171651]",0,0,True,0,True,True,"[0.13556022 0.2926527  0.27725686 0.24951748 0.25933281 0.26174213
 0.26229865 0.26163914]",[15  3  7  9 10 10  8 10]
19,8,7,Michael Waltrip,1.5746719775034717,8.857142857142858,percentage,"[0.19218471 0.18229044 0.15456579 0.18243684 0.03708783 0.11546755
 0.13596683]",4,4,True,4,True,True,"[0.32121697 0.35567754 0.31988838 0.29937233 0.13789428 0.27675787
 0.28919264]",[ 6  4  6  8 14  9  9]
19,9,6,Lea Thompson,0.855943274340589,8.916666666666666,percentage,[0.02846314 0.17274749 0.19084303 0.22883655 0.18044006 0.19866973],0,0,True,0,True,True,[0.19201455 0.35265403 0.37074957 0.36201412 0.35333725 0.36923048],[11  6  4  7  7  6]
19,10,5,Tommy Chong,0.7071067811865476,9.125,percentage,[0.25854174 0.22936945 0.04796936 0.19771027 0.26640918],2,2,True,2,True,True,[0.47224037 0.4348489  0.21783237 0.40592945 0.46914891],[ 3  6 10  6  5]
20,2,12,Redfoo,0.8444570083129684,7.229166666666667,percentage,"[0.0678674  0.08515739 0.07917269 0.10802413 0.06640894 0.06444902
 0.09729733 0.10483808 0.09986255 0.00703638 0.09174137 0.12814472]",9,5,False,9,True,False,"[0.14855905 0.17737641 0.17139171 0.20024315 0.16439165 0.14514066
 0.17798897 0.17976604 0.17767234 0.09637355 0.17243301 0.18866346]",[15  9 10  4 11 17 11 14 14 17 12 13]
20,3,11,Charlotte McKinney,1.099398783858893,7.113636363636363,percentage,"[0.14454615 0.12820199 0.11406776 0.10052227 0.07761124 0.11262986
 0.08513608 0.01652571 0.06826881 0.07771804 0.0747721 ]",7,7,True,7,True,True,"[0.22441836 0.23043841 0.22269396 0.20595358 0.18623744 0.18930718
 0.17778783 0.08681325 0.16411545 0.14800558 0.16422897]",[ 9  6  4  8  9 13 12 21 15 17 16]
20,4,10,Michael Sam,0.8961724164467461,8.125,percentage,"[0.13826656 0.10740333 0.08213409 0.16140028 0.11086217 0.01344087
 0.08219407 0.10259698 0.08677551 0.11492613]",5,5,True,5,True,True,"[0.22442041 0.22740333 0.18674947 0.26909259 0.2216314  0.10574856
 0.18680946 0.20105852 0.17908321 0.19800305]",[11  6 13  4  6 17 12 12 14 13]
20,5,9,Suzanne Somers,1.3647909440598052,7.861111111111111,percentage,"[0.01833105 0.18526579 0.11659609 0.10907418 0.1135903  0.11645778
 0.1289726  0.09502889 0.11668332]",0,7,False,0,True,False,"[0.11727098 0.30540714 0.2508717  0.24688337 0.24786591 0.20126344
 0.22791253 0.19043525 0.21208968]",[14  5  6  8  8 14  7 15 10]
20,6,8,Patti LaBelle,0.3630921887069453,8.84375,percentage,"[0.11663785 0.16308205 0.10508079 0.12166416 0.15517069 0.16694056
 0.01833648 0.15308743]",6,6,True,6,True,True,"[0.24561311 0.29735767 0.23052249 0.25063942 0.27354525 0.2870819
 0.13847782 0.27676234]",[ 8  3 11  7 11  7 14  9]
20,7,7,Willow Shields,0.8935711430854859,9.071428571428571,percentage,"[0.02307498 0.16596827 0.12649063 0.16416529 0.16347058 0.1497425
 0.20708775]",0,2,False,0,True,False,"[0.17661829 0.31163756 0.27215992 0.32558261 0.28551782 0.2993488
 0.32913499]",[ 9  6 10  4 10  8  7]
20,9,4,Nastia Liukin,0.2072890493972125,9.8125,percentage,[0.30687067 0.3128163  0.05697834 0.3233347 ],2,1,False,2,True,False,[0.56164774 0.56122394 0.31175541 0.56537292],[4 5 5 5]
21,4,10,Gary Busey,1.3012814197295426,7.866666666666667,percentage,"[0.02301781 0.12163197 0.1484044  0.09877716 0.15056619 0.11928105
 0.06332728 0.08465273 0.08813283 0.10220858]",0,0,True,0,True,True,"[0.09081442 0.21061502 0.2543366  0.20047208 0.24802382 0.23368783
 0.17773406 0.19905951 0.20677689 0.17847977]",[20 11  7 12  8  6 11 10  8 14]
21,6,9,Paula Deen,1.3933262448871613,8.694444444444445,percentage,"[0.13297058 0.123889   0.17743586 0.098361   0.10277686 0.10874949
 0.09784916 0.13342509 0.02454296]",8,8,True,8,True,True,"[0.22881723 0.24529475 0.27328251 0.22615653 0.23057239 0.23335013
 0.20008558 0.26122061 0.10122027]",[10  9  8  8  7  9 14  3 18]
21,7,8,Hayes Grier,0.24650332429581723,9.208333333333334,percentage,"[0.14396458 0.10373558 0.13434662 0.15474286 0.10419035 0.21500234
 0.014823   0.12919467]",6,2,False,6,True,False,"[0.26839897 0.23043242 0.25425612 0.28143969 0.22636229 0.33717428
 0.14151983 0.26041639]",[ 8  9 12  4 12  7 10  6]
21,8,7,Andy Grammer,0.9035189463144678,9.238066666666667,percentage,"[0.15141024 0.14702112 0.16051403 0.02702226 0.18229849 0.12255095
 0.20918292]",3,3,True,3,True,True,"[0.29058489 0.29650508 0.2893804  0.15073295 0.32662884 0.29265456
 0.35351327]",[ 9  7  9 14  5  7  4]
21,9,6,Alexa PenaVega,0.6899856860207902,9.138888888888888,percentage,[0.02761227 0.20462253 0.19266858 0.21847485 0.18545754 0.17116423],0,2,False,0,True,False,[0.20998309 0.36875627 0.34768378 0.36741102 0.35263079 0.35353505],[7 6 8 7 7 6]
22,2,12,Geraldo Rivera,1.003081671403766,6.555555555555556,percentage,"[0.07618351 0.09057526 0.07845568 0.05768999 0.13087662 0.07941293
 0.12801595 0.01736958 0.06537276 0.11936127 0.08137933 0.07530711]",7,7,True,7,True,True,"[0.13974283 0.17108373 0.16743873 0.14243576 0.21562239 0.1599214
 0.22971087 0.07245433 0.15011853 0.20834432 0.18307424 0.16005287]",[19 13 10 16  6 15  3 24 15  6  6 14]
22,3,11,Mischa Barton,0.6569540420811758,7.181818181818182,percentage,"[0.01420644 0.10874277 0.0884633  0.09724769 0.0860592  0.15398532
 0.08910399 0.08020402 0.09644424 0.11398495 0.07155807]",0,0,True,0,True,True,"[0.09015581 0.20156977 0.18550972 0.18163587 0.17044739 0.23837351
 0.18615041 0.18568925 0.18505184 0.21525077 0.16016566]",[22  8 10 12 16  9  9 10 11  4 16]
22,4,10,Marla Maples,0.9965565713997374,7.975,percentage,"[0.1124854  0.09707494 0.12190622 0.12418058 0.11965673 0.15195491
 0.07490889 0.10642468 0.07676471 0.01464295]",9,9,True,9,True,True,"[0.21279888 0.18171444 0.19714133 0.22449406 0.2293746  0.26480757
 0.18149196 0.21927735 0.18648257 0.10241725]",[11 16 13  8  7  2 14  7 11 18]
22,6,9,Doug Flutie,0.7662281802065629,8.407407407407408,percentage,"[0.12481855 0.11630117 0.01791239 0.135251   0.10604429 0.14131147
 0.09899337 0.09902158 0.16034617]",2,2,True,2,True,True,"[0.23054543 0.22643333 0.11042341 0.24097787 0.22498702 0.26465949
 0.20912553 0.20474846 0.28809948]",[10  9 18  9  9  4 12 13  2]
22,8,6,Jodie Sweetin,0.5905636562630359,9.38888888888889,percentage,[0.02593925 0.19288295 0.17658816 0.18520433 0.19060012 0.22878518],0,2,False,0,True,False,[0.20345405 0.35264626 0.34226864 0.35680197 0.36811491 0.37671418],[7 7 9 7 4 7]
23,2,13,Jake T. Austin,0.7368170792564621,6.769230769230769,percentage,"[0.00933591 0.09045693 0.08963797 0.06491828 0.08632881 0.10051806
 0.07992426 0.1254152  0.08746861 0.06584126 0.05485524 0.08077825
 0.06452123]",0,0,True,0,True,True,"[0.07751773 0.16432057 0.16634252 0.1331001  0.16587426 0.19142715
 0.14810608 0.1879152  0.16985498 0.15106853 0.12871887 0.16316461
 0.15258941]",[23 11 11 20 12  3 18 14  9 12 20 11 13]
23,3,12,Rick Perry,0.7249880267210549,6.770833333333333,percentage,"[0.09309073 0.07045443 0.12671183 0.05886042 0.13436767 0.1094959
 0.01109535 0.07218606 0.09282192 0.08125868 0.07456797 0.07508904]",6,6,True,6,True,True,"[0.17924457 0.15660827 0.20363491 0.15732196 0.22975229 0.18641898
 0.08186458 0.16141683 0.169745   0.15202792 0.15456797 0.16739673]",[ 9 15 10 12  3 11 23 13 13 17 15 10]
23,6,9,Amber Rose,1.0099810534832137,8.472222222222221,percentage,"[0.0914566  0.12602058 0.12348015 0.10576932 0.1073511  0.01842453
 0.12187358 0.16595319 0.13967095]",5,5,True,5,True,True,"[0.19309595 0.23749599 0.22184081 0.22708079 0.22866258 0.11022781
 0.24646374 0.29710073 0.23803161]",[14  8 11 10  9 18  7  2  9]
23,7,8,Maureen McCormick,0.4259066615762191,8.609375,percentage,"[0.01816057 0.15055678 0.15309259 0.14493743 0.135859   0.12862667
 0.13993082 0.12883614]",0,0,True,0,True,True,"[0.13794278 0.26670923 0.2728748  0.2792387  0.26108586 0.26292794
 0.26515768 0.254063  ]",[14 10  7  4  8  8  7  9]
23,8,7,Ryan Lochte,1.3996941682798258,9.571419047619047,percentage,"[0.19911019 0.02490253 0.16450267 0.11721197 0.1832671  0.17719606
 0.13380948]",1,1,True,1,True,True,"[0.31353817 0.15425589 0.31375655 0.28139123 0.35739563 0.32644994
 0.25321258]",[ 8 12  7  8  3  6 11]
23,9,6,Marilu Henner,0.4187448175467038,9.458333333333334,percentage,[0.02983081 0.18467032 0.18792568 0.21399278 0.17472848 0.20885192],0,0,True,0,True,True,[0.18842112 0.34766592 0.36413713 0.37258309 0.35093993 0.3762528 ],[11  8  4  6  6  5]
23,10,5,Terra Jole,0.24944382578492932,9.766666666666667,percentage,[0.22265904 0.23768705 0.23004895 0.2721071  0.03749785],4,0,False,4,True,False,[0.41378532 0.44246521 0.43141414 0.47005932 0.24227601],[9 3 6 5 6]
24,2,12,Chris Kattan,0.7993052538854533,6.833333333333333,percentage,"[0.07457368 0.07953699 0.05275094 0.09852253 0.09211004 0.10490389
 0.11974182 0.17549878 0.01209204 0.09223478 0.04160211 0.05643242]",8,8,True,8,True,True,"[0.15079319 0.14661016 0.14421435 0.18388838 0.17747589 0.19331853
 0.20205889 0.27305975 0.07916521 0.17760063 0.13916309 0.13265193]",[17 18 13  9 11  7 10  2 23 10 12 18]
24,3,11,Charo,0.9610170232666352,7.159090909090909,percentage,"[0.01275662 0.12660459 0.10207018 0.06276567 0.11403988 0.10880004
 0.06325134 0.14877596 0.09312225 0.07409964 0.09371382]",0,0,True,0,True,True,"[0.0889471  0.20279507 0.20683209 0.16752758 0.19023035 0.21038734
 0.16166404 0.23766485 0.17566193 0.18203615 0.1762535 ]",[20 11  7 12 12  8 14  7 14  9 13]
24,4,10,Mr. T,0.7762087348130011,8.15,percentage,"[0.01640936 0.09719996 0.11817465 0.1085021  0.08914081 0.10736556
 0.06603908 0.13611736 0.11738136 0.14366977]",0,0,True,0,True,True,"[0.10229893 0.20456192 0.21940164 0.20666161 0.19957026 0.20245759
 0.18567098 0.2281419  0.21554086 0.23569431]",[20 10  7 10 10 13 10 10  9  9]
24,5,9,Erika Jayne,0.8060343404748282,8.444444444444445,percentage,"[0.15289471 0.10299005 0.09461384 0.17284716 0.14581119 0.12478028
 0.01451185 0.09998497 0.09156594]",6,2,False,6,True,False,"[0.26473682 0.22141111 0.19329806 0.29784716 0.24120592 0.23004344
 0.11977501 0.22827444 0.20340804]",[ 6  8 15  3 12 10 15  7 12]
24,6,8,Heather Morris,0.5650981662507851,8.40625,percentage,"[0.01362337 0.1292266  0.15287735 0.11767447 0.11393104 0.15469665
 0.13639357 0.18157694]",0,4,False,0,True,False,"[0.15116984 0.25376192 0.26997772 0.24592726 0.22917268 0.28480817
 0.27022257 0.29495984]",[ 9 10  9 10 14  5  6  9]
24,8,5,Bonner Bolton,0.9334077351297234,8.725,percentage,[0.04986737 0.22842113 0.28909062 0.21572764 0.21689325],0,0,True,0,True,True,[0.21605648 0.43472485 0.47533703 0.43062735 0.44325428],[10  5  5  6  4]
24,9,4,Simone Biles,0.4539324701979359,9.46875,percentage,[0.06361647 0.3444121  0.2929855  0.29898593],0,0,True,0,True,True,[0.32764287 0.5754352  0.54711092 0.54981101],[5 5 5 5]
25,4,11,Derek Fisher,0.6239775843022424,8.212121212121211,percentage,"[0.08611405 0.093021   0.08707395 0.01159836 0.09387819 0.10111051
 0.1000789  0.0882274  0.07918423 0.17866902 0.08104439]",3,3,True,3,True,True,"[0.17467493 0.18158189 0.19408502 0.09646921 0.18243907 0.18967139
 0.19970989 0.18416836 0.16036504 0.26722991 0.16960528]",[12  9  8 21  8  6  5  9 21  5 13]
25,5,10,Sasha Pieterse,0.7951240294584375,8.7,percentage,"[0.01121914 0.09485748 0.066294   0.10271688 0.08718983 0.09512897
 0.25970557 0.10788733 0.08906868 0.08593212]",0,0,True,0,True,True,"[0.10317316 0.20596859 0.18123653 0.20616515 0.18297528 0.19857725
 0.36698526 0.19217852 0.18485412 0.17788614]",[18  7 10  7 13  8  4 12 12 16]
25,6,9,Nick Lachey,1.1055415967851334,8.5,percentage,"[0.11362089 0.11771507 0.13391718 0.10123388 0.11782678 0.12905221
 0.02214317 0.10562812 0.1588627 ]",6,6,True,6,True,True,"[0.21492808 0.24516605 0.25156424 0.22214891 0.21913397 0.25977116
 0.10711049 0.20366733 0.27650976]",[12  7  6 11 10  4 18 15  5]
25,8,6,Terrell Owens,0.7163220532348682,8.694444444444445,percentage,[0.20303201 0.1619389  0.03166947 0.20507684 0.17739554 0.22088723],2,2,True,2,True,True,[0.37236108 0.35363219 0.19460877 0.35843147 0.3499195  0.37104698],[ 6  6 10  7  6  7]
25,9,5,Victoria Arlen,0.6411794687223782,9.0,percentage,[0.24412543 0.19883182 0.03652865 0.23457417 0.28593994],2,2,True,2,True,True,[0.43301432 0.41364663 0.24393606 0.44568528 0.46371772],[6 5 8 5 6]
25,10,4,Drew Scott,0.2569233764513994,9.77429375,percentage,[0.33478568 0.3314869  0.27025959 0.06346783],3,3,True,3,True,True,[0.58345262 0.58725985 0.52603254 0.30325498],[4 3 4 8]
27,1,13,Nikki Glaser,0.8195106058716353,6.538461538461538,percentage,"[0.08560048 0.10133614 0.06288692 0.1042991  0.07933771 0.08850765
 0.09019274 0.09302033 0.00987777 0.05923854 0.08278055 0.05770962
 0.08521245]",8,8,True,8,True,True,"[0.17187499 0.17192437 0.13935751 0.17488734 0.15776908 0.15909589
 0.16862411 0.18321641 0.07850522 0.13766991 0.17297663 0.14398413
 0.14011441]",[ 9 11 18 10 14 14  9  4 25 16  9 15 20]
